team,attack_score,defence_score,overall_score,matches_used
Bosnia and Herzegovina,1.1873094943030562,0.5234420893163495,2.268272877814931,41
Angola,0.980216733643645,0.4329301165676533,2.2641454039164035,51
Saudi Arabia,0.9474491076408037,0.4342459443557844,2.1818260365018953,74
United Arab Emirates,1.1485063220433984,0.5295359707144189,2.1688919838512595,54
Costa Rica,1.2737330230669206,0.5877782164730402,2.1670299908525843,61
Finland,1.1434457124097503,0.5556497124539145,2.0578535123503507,46
Cape Verde,1.0663174546085803,0.5190130215152428,2.054510022687868,51
Guinea,1.0449932507261277,0.5132266209208511,2.0361244100143523,47
Bolivia,1.2163446600172574,0.605356042512792,2.0093045655715156,48
North Macedonia,1.0175669925256836,0.5530396827005346,1.8399529443471887,45
Belarus,1.0950970094099737,0.606855457640265,1.8045433976456564,44
New Zealand,0.8624753225783807,0.5020630996833317,1.7178624023999636,43
Niger,1.096174869945904,0.6573501636226045,1.6675661323410516,38
Zambia,1.009276067669615,0.6164697476638803,1.6371866932550692,45
Benin,1.0771727036912482,0.6839094236641355,1.575022461191063,41
Qatar,1.1938487967610225,0.7581659282116543,1.5746537167359231,61
Gambia,1.2829074504793272,0.8172341590007032,1.5698162348573872,39
Haiti,1.1938885217553579,0.7622876445063563,1.5661916211806088,39
Libya,0.840621045942337,0.5480881188617531,1.5337333852229897,38
Montenegro,0.9804391492367701,0.6557709028224542,1.4950940107542676,44
Zimbabwe,0.9375510286093461,0.6393861885335999,1.4663298104070286,30
Syria,0.9128887482365725,0.6234569608778826,1.464236997131517,48
Palestine,0.8069599448361686,0.5580056515531698,1.4461501287487892,38
Faroe Islands,0.7509675048381298,0.5302881053434186,1.416150008403069,43
Comoros,0.9002390769760953,0.6383635314484302,1.4102294893529967,53
Oman,0.7346562316389961,0.5307511663128249,1.384182039095114,61
Bulgaria,0.921615513119103,0.6673212846375778,1.3810671626031417,44
Togo,0.8911291492156389,0.6494434802478966,1.3721427288414527,33
Gabon,1.1194117430123096,0.8165862329268776,1.3708432715060834,41
Madagascar,1.0758857468479937,0.793062782592303,1.3566211534113612,36
Kazakhstan,0.8945800891947291,0.6606486902683602,1.3540934877678246,45
Uganda,0.9748195908637993,0.7201162416051445,1.3536975484553981,42
Honduras,0.838369904203046,0.6315587607119847,1.3274614435843053,57
North Korea,0.9636449455852398,0.7326511011037817,1.3152849209309212,18
Rwanda,0.6065970601683754,0.4624862809545355,1.311600116908131,32
Mozambique,1.0882424321061697,0.8402017542014304,1.295215615373821,48
Jamaica,0.7928138866159502,0.6229133984089139,1.2727513786683786,67
Cyprus,0.9433283731306233,0.7413038697060759,1.2725258988660741,44
Luxembourg,0.6809168405382869,0.5536969303735233,1.2297645213220547,42
Tanzania,0.5953752034086043,0.4898326611025789,1.2154665270144636,41
Guatemala,0.9042872770869747,0.7455416802154134,1.21292652186219,62
Bahrain,0.7655228712252912,0.6529508522036406,1.1724050418829102,61
Curacao,0.8348923161525823,0.7187762852771313,1.161546830709198,39
Armenia,0.9560845340699895,0.8454409738722615,1.130870827907668,43
Suriname,0.7548588680711814,0.6760249005436456,1.1166139996679696,36
Equatorial Guinea,0.7811834654850173,0.7079304780061075,1.1034748322818753,48
Estonia,0.7651302436612212,0.7047796072450396,1.0856305088793505,48
Mauritania,0.6202480813960375,0.5784108744733103,1.072331293841637,47
Sierra Leone,0.8371642056250922,0.7925645559905634,1.0562725765332608,37
Sudan,0.6112713150817333,0.5912656021598346,1.0338354080616559,44
Malawi,0.6662636206658068,0.6626806461748809,1.0054067890945775,41
Thailand,0.815356382414514,0.8144543172137417,1.0011075700400953,65
Kenya,0.8248801457821721,0.8287719983791486,0.9953040732498347,30
Indonesia,0.8177037152331991,0.824298378113381,0.9919996653453625,58
Lithuania,0.6345249768193071,0.64631861221093,0.9817525982250779,44
Azerbaijan,0.734822676552329,0.7510214042539344,0.9784310705262825,43
China,0.639428607504551,0.6697648371801399,0.9547061476035212,40
Kuwait,0.8454262814267162,0.9011638346866987,0.9381493673907138,55
Tajikistan,0.6471620672103754,0.7001744193468037,0.9242869338387372,42
Kyrgyzstan,0.7596099133862175,0.8607516806554938,0.8824959979256118,38
Latvia,0.6602340333340905,0.7610174452066049,0.8675675406558476,42
Liberia,0.7159494619941489,0.8286114094504718,0.864035244782546,34
Moldova,0.7914606398393864,0.9161379134628199,0.8639099290715105,45
Ethiopia,0.7378561318192941,0.8673223965556274,0.8507287886828716,35
Dominican Republic,0.8396107441437423,0.9888337055200095,0.8490919549533421,39
Namibia,0.6243341641719234,0.7397896096576012,0.843934756613959,36
Burundi,0.6585245401010907,0.8021834318924692,0.8209151597004866,29
Lesotho,0.5801312588516486,0.7134809256393696,0.8130998853708349,42
Malta,0.6025453072673778,0.7445538380045087,0.8092702992200935,41
Central African Republic,0.8663740556056085,1.0746397416543234,0.8061995308975767,29
Guinea-Bissau,0.5526047263466211,0.6879548022405151,0.8032573136300684,38
Botswana,0.6191312313066665,0.7907793495255893,0.7829380366066725,40
Vietnam,0.7267215616670873,0.9311595990728857,0.7804479085976794,50
Lebanon,0.5393372581099443,0.7201741172178693,0.748898419445394,39
Malaysia,0.7135153540271675,0.9641715807611316,0.740029439017387,51
Nicaragua,0.5918506424422123,0.8034598531716678,0.7366275242078052,45
Trinidad and Tobago,0.7342328021058833,1.0387825414133676,0.7068205065392089,58
Eswatini,0.6875137173360027,0.9846687660173004,0.6982182649265868,37
Guadeloupe,0.6884128714794657,1.049421921724228,0.6559924633062603,29
Martinique,0.5889484007762185,0.9309280711714712,0.6326465158957891,24
Congo,0.64721006907691,1.0518111362780633,0.615329165811199,22
Yemen,0.8013152453437514,1.321604842846624,0.6063198464208006,25
El Salvador,0.44302252568588024,0.7594966401682498,0.5833107116678466,55
Guyana,0.7467424033732574,1.4456463101195505,0.5165457125619503,37
Turkmenistan,0.5498620881018839,1.0898274064695528,0.5045405215887693,22
Chad,0.47209828113417646,0.9822822133336289,0.48061369199793286,25
Mauritius,0.4649220559575085,0.9887504076531642,0.4702117464214435,32
South Sudan,0.46784874663219306,1.0146100679564378,0.4611118708633592,30
Philippines,0.5664231727076322,1.3247742462943675,0.42756203503504087,41
French Guiana,0.5570840524409887,1.3093307786056438,0.42547235698090646,20
Andorra,0.30016888623210647,0.7067242737741489,0.4247326678466867,45
Puerto Rico,0.5833580205239983,1.418141327348561,0.4113539386195579,30
Hong Kong,0.490087219004592,1.197384410377356,0.40929814582281127,48
Cuba,0.46660815607957584,1.246257256564811,0.3744075740555659,40
Singapore,0.5665965335223796,1.6320112056930316,0.3471768646844401,44
India,0.31013139807547974,0.9457715131483007,0.32791365965666375,41
Gibraltar,0.38403136576435365,1.2016525358235017,0.31958603199815494,42
Somalia,0.3072653423092098,0.9782231597580192,0.3141055691067643,18
Saint Vincent and the Grenadines,0.5786966744916291,1.8924851629729091,0.3057866374933969,39
Bermuda,0.6092747634727212,2.053028244075121,0.2967688171027557,33
Grenada,0.46347257193306096,1.6047497574220209,0.2888129876882579,37
Saint Martin,0.5482280676152037,1.965863764028318,0.27887388620044096,20
São Tomé and Príncipe,0.4757349211378805,1.7259302066250581,0.2756397213002886,20
Djibouti,0.4273050129929349,1.67359761719513,0.2553212364804138,18
Taiwan,0.5059984594241989,2.194762232488822,0.23054818965533477,23
Cambodia,0.4046252092345889,1.8374833597130649,0.22020618967552108,32
Aruba,0.40631562499128143,1.9071517228827666,0.21304840098254618,24
New Caledonia,0.35720933600870736,1.743050067404439,0.20493349140602987,19
San Marino,0.3088846083912306,1.5294032144841276,0.2019641422653988,44
Belize,0.32806165805588533,1.6285407620898344,0.20144516225365972,33
Saint Lucia,0.38495362251446213,1.9765851235175278,0.19475691582126212,29
Montserrat,0.34172306199677277,1.7659130509237964,0.1935106951149199,21
Bangladesh,0.32897383557831533,1.7398184589362453,0.18908515074581722,40
Myanmar,0.3812261014235883,2.0620937979241565,0.18487330780362968,36
Saint Kitts and Nevis,0.4033119383925218,2.191862757503682,0.1840041932423975,37
Sint Maarten,0.44546037569653324,2.528692473862542,0.17616233697888095,23
Barbados,0.4354715094091207,2.6467190146341473,0.16453258052756137,33
Nepal,0.2358007149538252,1.4860521230127381,0.15867593828120655,37
Afghanistan,0.23875917782800318,1.509483851989774,0.15817272739504645,25
Sri Lanka,0.21877047180729622,1.3896237251715227,0.15743144553774308,24
Liechtenstein,0.17168820771338242,1.3030976154611853,0.1317539113542307,43
Laos,0.3261023971082369,2.5488604270179103,0.12794046847428475,25
Dominica,0.27039387900328,2.231421586164994,0.12117561319642389,26
Bonaire,0.26284280670601484,2.4094821600173613,0.10908684491115757,23
Pakistan,0.20003879445597983,1.8949319008043604,0.1055651627222421,23
Maldives,0.22165609337227168,2.221669217609163,0.09977007000655375,27
British Virgin Islands,0.2243400921998559,2.5038425815353387,0.08959832133787425,26
Solomon Islands,0.2909132119283043,3.36127729454269,0.0865484119387073,31
Tahiti,0.18868249395697037,2.3393795114374947,0.08065493137581142,13
Antigua and Barbuda,0.18223827470448717,2.2943693645454952,0.07942848153422227,25
Timor-Leste,0.23884597769047924,3.0077215462392672,0.07941093416347751,21
Papua New Guinea,0.25352592909536653,3.3382030380199623,0.0759468271425887,26
Fiji,0.22637563622080065,3.0207566400873205,0.0749400442315197,33
Cayman Islands,0.20144540108605075,2.7171890976735065,0.0741374243178478,23
Seychelles,0.16158355496943197,2.3833054421442386,0.0677980892050734,24
Vanuatu,0.2244651464227468,3.4225901756066284,0.06558341341085688,25
Bahamas,0.2592309392067053,4.162633545079964,0.0622757051273716,25
Mongolia,0.1418086171422862,2.291052303787718,0.061896717463778055,18
Bhutan,0.16371961475454752,3.1166245652882725,0.05253106728926917,18
Brunei,0.1685492369958649,3.392507882150146,0.049682784197111335,26
United States Virgin Islands,0.1504083317406395,3.814864939584719,0.03942690871698665,18
Turks and Caicos Islands,0.15318107758004826,5.087488066045502,0.030109373347211744,19
Anguilla,0.10853535219653426,4.1968755038798395,0.025860989227866726,24
